Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Customer 1;51.8674;58.2301;10;0;50;1 2 3
Customer 2;52.0893;53.6455;10;18;50;1 2 3
Customer 3;52.7767;52.2509;5;70;81;1 2 3
Customer 4;51.4878;57.3779;5;80;90;1 2 3
Customer 5;51.2473;58.4434;5;90;100;1 2 3
Customer 6;52.5206;52.7678;5;121;131;1 2 3
Customer 7;51.7867;55.1077;5;136;146;1 2 3
Customer 8;51.2366;58.4755;10;142;159;1 2 3
Customer 9;52.7915;52.2677;5;147;158;1 2 3
Customer 10;52.8519;53.4867;5;193;203;1 2 3
Customer 11;51.2541;58.4842;5;204;215;1 2 3
Customer 12;51.7917;55.1379;5;229;240;1 2 3
Customer 13;51.2463;58.4628;5;269;280;1 2 3
Customer 14;50.7534;59.5352;5;295;306;1 2 3
Customer 15;51.2542;58.4845;10;298;316;1 2 3
Customer 16;51.7696;52.7448;5;308;319;1 2 3
Customer 17;52.7951;52.2405;5;320;330;1 2 3
Customer 18;51.0351;59.8769;5;320;331;1 2 3
