Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Customer 1;51.2539;58.4842;5;0;20;1 2 3
Customer 2;51.2603;58.4567;5;0;20;1 2 3
Customer 3;50.7678;59.5238;5;0;20;1 2 3
Customer 4;51.2628;58.4516;5;8;24;1 2 3
Customer 5;51.8264;55.1633;5;15;27;1 2 3
Customer 6;51.4065;57.5834;5;24;32;1 2 3
Customer 7;51.2241;58.4941;5;36;41;1 2 3
Customer 8;51.0346;59.8783;5;59;64;1 2 3
Customer 9;51.8731;54.2066;20;80;93;1 2 3
Customer 10;51.2541;58.4841;5;83;88;1 2 3
Customer 11;51.2569;58.605;10;101;109;1 2 3
Customer 12;51.8078;55.1067;5;170;175;1 2 3
Customer 13;51.2403;58.4652;5;260;265;1 2 3
Customer 14;50.9003;59.7917;10;263;271;1 2 3
Customer 15;51.2332;58.4725;10;264;271;1 2 3
Customer 16;51.4821;57.3763;5;310;315;1 2 3
Customer 17;51.7712;55.1036;5;319;324;1 2 3
