Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Customer 1;52.7727;52.2468;10;0;50;1 2 3
Customer 2;52.7977;52.2375;5;0;40;1 2 3
Customer 3;51.2542;58.484;5;0;40;1 2 3
Customer 4;51.2114;58.6598;30;0;90;1 2 3
Customer 5;52.5298;52.741;5;0;40;1 2 3
Customer 6;51.1944;58.6175;30;6;90;1 2 3
Customer 7;51.206;58.612;5;25;40;1 2 3
Customer 8;51.611;53.9102;5;80;90;1 2 3
Customer 9;51.2581;58.4552;5;91;101;1 2 3
Customer 10;51.8467;55.1216;5;106;116;1 2 3
Customer 11;51.7675;55.1384;5;106;117;1 2 3
Customer 12;50.7534;59.5352;5;111;122;1 2 3
Customer 13;51.836;55.1595;5;130;140;1 2 3
Customer 14;51.7696;52.7452;5;148;158;1 2 3
Customer 15;51.1907;58.2931;5;197;208;1 2 3
Customer 16;52.4332;53.1568;5;209;219;1 2 3
Customer 17;51.2183;58.4737;5;225;236;1 2 3
Customer 18;51.1583;54.9983;5;283;293;1 2 3
Customer 19;51.2101;58.6227;10;299;317;1 2 3
Customer 20;51.2872;58.4307;5;320;331;1 2 3
