Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Object 19;54.2824;86.11;5;0;15;3
Object 22;54.7263;47.5575;5;3;17;1 2 3
Object 25;48.5363;42.495;5;9;20;1 2 3
Object 29;58.9359;69.1354;5;9;20;3
Object 42;54.6035;86.276;10;10;25;3
Object 14;46.2774;38.4771;20;15;38;1 2 3
Object 38;56.1667;107.433;5;21;27;3
Object 5;43.8827;43.4842;5;31;37;1 2 3
Object 3;51.2545;42.4607;5;33;38;1 2 3
Object 31;45.4789;42.1414;30;33;57;1 2 3
Object 44;45.3681;38.21;5;44;50;1 2 3
Object 49;49.766;45.3909;5;44;49;1 2 3
Object 11;54.1667;93.3;5;46;52;3
Object 28;55.3708;74.3647;5;60;66;3
Object 34;55.5448;42.199;5;77;82;1 2 3
Object 4;54.5329;56.1495;5;79;84;1 2 3
Object 12;54.0428;37.5301;5;103;109;1 2 3
Object 35;54.5725;54.5214;10;104;112;1 2 3
Object 13;51.1132;40.2897;5;111;117;1 2 3
Object 9;56.065;85.6336;5;120;126;3
Object 7;45.0031;43.7825;5;129;135;1 2 3
Object 6;55.0386;55.9861;5;161;166;1 2 3
Object 45;47.0766;39.3245;20;174;190;1 2 3
Object 43;54.8464;50.795;5;188;194;1 2 3
Object 39;44.2552;43.0247;5;198;204;1 2 3
Object 15;45.3931;40.7633;5;212;218;1 2 3
Object 32;55.9646;97.8115;10;213;222;3
Object 8;50.4059;41.7652;5;216;222;1 2 3
Object 1;55.5579;98.6569;5;218;223;3
Object 50;58.1106;68.3324;5;231;237;3
Object 17;45.0232;42.373;5;238;244;1 2 3
Object 23;57.1785;46.5418;5;239;244;1 2 3
Object 36;53.2378;50.8446;10;243;251;1 2 3
Object 18;51.5782;38.7872;5;257;263;1 2 3
Object 37;48.2048;41.1463;5;257;262;1 2 3
Object 24;44.1401;42.8757;5;259;264;1 2 3
Object 10;63.1908;64.4184;5;262;267;3
Object 2;55.5345;55.9576;10;288;297;1 2 3
Object 47;50.8033;44.5658;5;289;294;1 2 3
Object 48;55.3101;61.2644;5;289;294;1 2 3
Object 46;53.3348;78.3407;5;296;302;3
Object 27;45.1458;39.7542;10;297;306;1 2 3
Object 16;48.5267;40.3168;5;305;310;1 2 3
Object 30;54.9671;49.0342;10;311;319;1 2 3
Object 33;48.3322;39.9654;5;316;321;1 2 3
Object 21;54.9191;82.9903;5;324;330;3
Object 41;49.268;45.0322;5;324;330;1 2 3
Object 26;55.4788;54.8619;10;329;338;1 2 3
Object 20;54.5509;20.6014;10;335;343;1 2 3
Object 40;55.2571;42.2052;5;345;350;1 2 3
