Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Object 42;45.3728;40.8299;5;0;30;1 2 3
Object 26;55.5922;44.5401;10;2;40;1 2 3
Object 6;62.4413;71.7682;5;7;30;3
Object 46;55.2018;48.507;5;13;30;1 2 3
Object 28;57.8215;39.6159;10;24;40;1 2 3
Object 3;52.422;85.6978;10;27;43;3
Object 4;55.2898;52.0131;5;42;53;1 2 3
Object 25;57.3647;57.2444;5;45;56;1 2 3
Object 37;53.2537;83.6931;5;50;61;3
Object 34;55.8692;41.7573;10;55;71;1 2 3
Object 18;44.1265;40.8109;20;58;84;1 2 3
Object 39;51.3243;40.5357;5;67;77;1 2 3
Object 10;53.0931;50.6467;5;74;84;1 2 3
Object 30;46.5332;41.0176;5;77;88;1 2 3
Object 9;44.2155;44.3478;5;79;89;1 2 3
Object 5;50.7611;59.5332;5;94;105;1 2 3
Object 24;53.9049;53.9272;5;111;122;1 2 3
Object 21;54.8814;82.7713;5;118;129;3
Object 49;55.6769;40.2178;5;122;132;1 2 3
Object 7;50.1373;45.2103;20;126;156;1 2 3
Object 27;45.619;42.8235;5;130;141;1 2 3
Object 32;52.2601;43.7814;5;130;140;1 2 3
Object 33;57.6867;39.8942;10;145;163;1 2 3
Object 47;57.8483;61.688;10;150;165;3
Object 29;55.5448;42.199;5;161;171;1 2 3
Object 36;58.0726;60.7336;5;161;171;3
Object 20;45.2188;37.8876;10;177;195;1 2 3
Object 1;45.4111;40.4267;5;179;189;1 2 3
Object 44;55.4661;83.8213;5;179;189;3
Object 41;55.7138;60.701;5;182;192;1 2 3
Object 15;51.6263;39.4129;5;187;198;1 2 3
Object 23;45.0838;40.4611;5;188;199;1 2 3
Object 45;58.1369;52.6548;5;192;203;1 2 3
Object 43;55.0789;21.8787;5;203;213;1 2 3
Object 14;50.6303;36.4833;5;210;221;1 2 3
Object 31;58.2754;57.8314;5;211;221;3
Object 22;51.1052;40.0217;5;212;223;1 2 3
Object 19;55.1952;49.2597;5;224;234;1 2 3
Object 35;52.903;56.3849;10;231;248;1 2 3
Object 12;51.1013;41.6226;5;241;252;1 2 3
Object 17;54.5195;86.3589;5;247;258;3
Object 48;45.4332;37.7644;10;265;283;1 2 3
Object 38;51.0829;38.6406;5;267;277;1 2 3
Object 8;53.7111;37.2921;5;284;295;1 2 3
Object 50;45.259;40.671;5;287;298;1 2 3
Object 16;44.3265;38.7016;5;297;307;1 2 3
Object 13;51.512;104.132;5;300;311;3
Object 40;58.6333;59.7833;5;333;343;3
Object 2;54.9429;20.2216;5;339;350;1 2 3
Object 11;58.2933;37.8709;5;344;354;1 2 3
