Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Customer 1;53.6581;52.4386;10;0;50;1 2 3
Customer 2;51.2542;58.484;5;0;40;1 2 3
Customer 3;51.9595;58.1589;10;0;50;1 2 3
Customer 4;51.9613;58.3366;5;0;40;1 2 3
Customer 5;51.1842;58.2805;10;0;50;1 2 3
Customer 6;51.2289;58.476;5;0;40;1 2 3
Customer 7;51.2104;58.6214;5;0;40;1 2 3
Customer 8;51.7867;55.1077;5;0;40;1 2 3
Customer 9;52.847;53.4867;10;0;50;1 2 3
Customer 10;51.8063;55.1706;5;0;40;1 2 3
Customer 11;51.611;53.9102;5;0;40;1 2 3
Customer 12;52.0894;53.6452;5;0;40;1 2 3
Customer 13;51.2429;58.4669;10;6;50;1 2 3
Customer 14;51.4885;57.3771;5;8;40;1 2 3
Customer 15;51.7917;55.1379;5;9;40;1 2 3
Customer 16;51.8379;55.1417;20;12;70;1 2 3
Customer 17;52.1066;53.6437;5;13;40;1 2 3
Customer 18;51.2088;58.5606;5;13;40;1 2 3
Customer 19;51.2332;58.4725;10;14;50;1 2 3
Customer 20;51.2241;58.4941;5;16;40;1 2 3
Customer 21;51.2242;58.4941;5;19;40;1 2 3
Customer 23;53.6577;52.4384;5;32;42;1 2 3
Customer 24;52.7752;52.2493;5;33;44;1 2 3
Customer 25;51.254;58.4843;10;34;50;1 2 3
Customer 26;52.7884;52.258;5;38;49;1 2 3
Customer 27;53.5932;52.4288;10;44;59;1 2 3
Customer 28;51.7623;55.1166;5;54;64;1 2 3
Customer 29;51.2244;58.494;5;56;66;1 2 3
Customer 30;51.8264;55.1633;5;58;69;1 2 3
Customer 31;51.2297;58.6354;5;59;70;1 2 3
Customer 32;51.8657;58.223;5;60;71;1 2 3
Customer 33;51.8036;55.1418;5;61;72;1 2 3
Customer 34;51.713;55.2174;5;62;73;1 2 3
Customer 35;51.2542;58.4842;5;65;76;1 2 3
Customer 36;51.2458;58.4617;10;66;84;1 2 3
Customer 37;51.2297;58.4774;5;67;78;1 2 3
Customer 38;51.2229;58.4927;10;69;87;1 2 3
Customer 39;51.2286;58.4872;5;69;79;1 2 3
Customer 41;51.4638;58.4403;5;76;87;1 2 3
Customer 42;52.5206;52.7678;5;78;89;1 2 3
Customer 43;51.8166;55.1698;5;79;89;1 2 3
Customer 44;51.2541;58.4842;5;79;89;1 2 3
Customer 45;52.788;52.2601;5;82;93;1 2 3
Customer 46;51.2872;58.4305;5;84;94;1 2 3
Customer 47;51.2542;58.484;5;85;96;1 2 3
Customer 48;52.7928;52.2686;5;93;103;1 2 3
Customer 49;51.2227;58.4897;10;94;112;1 2 3
Customer 50;51.987;55.325;10;107;123;1 2 3
