Name;Latitude;Longitude;Type
Vehicle 1;51.2138;58.4389;1
Vehicle 2;51.8371;55.0928;1
Vehicle 3;52.7126;52.2311;2
Vehicle 4;51.2362;58.4382;1
Vehicle 5;51.8237;55.1012;2
Vehicle 6;52.7383;52.2235;2
Vehicle 7;51.2039;58.4764;2
Vehicle 8;51.8284;55.0974;1
Vehicle 9;52.7303;52.2424;1
Vehicle 10;52.3867;53.1497;1
Vehicle 11;51.7634;55.0746;2
Vehicle 12;52.7886;52.2409;1
Vehicle 13;51.2138;58.4389;1
Vehicle 14;51.8371;55.0928;1
Vehicle 15;52.7126;52.2311;2
Vehicle 16;51.2362;58.4382;1
Vehicle 17;51.8237;55.1012;2
Vehicle 18;52.7383;52.2235;2
Vehicle 19;51.2039;58.4764;2
Vehicle 20;51.8284;55.0974;1
Vehicle 21;52.7303;52.2424;1
Vehicle 22;52.3867;53.1497;1
Vehicle 23;51.7634;55.0746;2
Vehicle 24;52.7886;52.2409;1
