Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Object 52;45.2934;39.2634;5;0;30;1 2 3
Object 56;57.2749;103.742;10;0;40;3
Object 76;57.668;63.0632;5;0;30;3
Object 103;55.9886;40.0182;5;0;30;1 2 3
Object 124;44.8109;44.2576;5;0;30;1 2 3
Object 126;46.2776;41.7569;5;0;30;1 2 3
Object 128;53.0554;60.6374;5;0;30;1 2 3
Object 1;54.3397;80.4987;10;5;40;3
Object 149;53.0804;85.6747;10;5;40;3
Object 66;49.6316;41.7147;5;8;30;1 2 3
Object 24;48.5363;42.495;5;9;30;1 2 3
Object 87;45.9774;39.3668;5;10;30;1 2 3
Object 115;44.9999;38.6091;5;11;30;1 2 3
Object 70;56.9568;97.7358;10;12;40;3
Object 68;45.3907;40.5991;5;19;30;1 2 3
Object 20;57.1101;61.3976;5;20;30;1 2 3
Object 41;54.1549;36.9649;10;21;40;1 2 3
Object 47;46.1643;40.2745;10;24;40;1 2 3
Object 96;44.0289;43.1007;5;24;34;1 2 3
Object 144;58.2857;59.7776;10;28;44;3
Object 43;54.7048;73.041;5;29;40;3
Object 117;56.4983;66.5488;5;30;40;3
Object 69;45.2031;42.4019;20;31;63;1 2 3
Object 141;53.4594;83.8914;5;31;42;3
Object 23;44.8608;37.3557;5;32;43;1 2 3
Object 4;53.7811;81.3135;5;33;44;3
Object 114;43.6028;39.7342;5;36;47;1 2 3
Object 88;47.7569;39.9358;5;37;47;1 2 3
Object 45;56.8188;59.9036;5;38;48;1 2 3
Object 33;56.9553;60.675;20;39;64;1 2 3
Object 59;45.2173;39.5634;5;39;49;1 2 3
Object 57;52.7664;103.638;5;45;56;3
Object 132;51.2145;58.5441;5;48;59;1 2 3
Object 32;55.8306;48.7172;20;49;80;1 2 3
Object 143;57.6442;56.4728;5;49;60;1 2 3
Object 11;55.3965;43.8299;5;52;63;1 2 3
Object 94;51.6598;41.3053;5;54;65;1 2 3
Object 140;51.9349;43.5028;5;56;67;1 2 3
Object 2;48.9183;40.405;10;57;73;1 2 3
Object 102;57.0748;65.066;5;63;74;3
Object 61;46.9805;40.0437;5;67;77;1 2 3
Object 84;57.6127;92.2815;5;68;78;3
Object 133;54.0055;86.6498;10;73;91;3
Object 123;55.3253;89.8785;10;74;89;3
Object 131;59.3327;66.0115;5;75;85;3
Object 60;54.9267;60.7611;10;78;93;1 2 3
Object 44;57.2725;60.1289;5;79;89;1 2 3
Object 127;51.4002;56.4096;5;80;91;1 2 3
Object 28;57.9859;61.6803;5;90;101;3
Object 120;56.369;38.583;5;93;103;1 2 3
Object 55;47.0064;42.2104;5;95;106;1 2 3
Object 18;57.3579;61.6906;5;96;106;3
Object 85;56.6555;59.5598;20;100;125;1 2 3
Object 81;51.8768;54.1878;5;102;112;1 2 3
Object 12;51.037;36.7303;5;113;123;1 2 3
Object 110;56.2097;92.3245;5;113;123;3
Object 80;53.6234;52.4332;10;114;130;1 2 3
Object 30;44.5047;38.13;5;115;126;1 2 3
Object 31;58.0208;46.3204;5;116;126;1 2 3
Object 105;56.2862;43.0264;5;116;126;1 2 3
Object 10;57.4922;39.7522;5;123;133;1 2 3
Object 100;53.9355;37.9256;5;123;133;1 2 3
Object 118;48.0159;40.8394;5;128;139;1 2 3
Object 54;54.1695;74.6932;10;130;145;3
Object 135;50.1566;38.4539;5;132;142;1 2 3
Object 29;55.5302;44.2021;5;135;145;1 2 3
Object 39;55.7122;51.3965;5;135;145;1 2 3
Object 113;45.1296;41.9508;5;135;146;1 2 3
Object 83;57.673;54.5957;5;138;149;1 2 3
Object 65;44.0544;42.5283;5;142;153;1 2 3
Object 46;44.7592;39.8817;5;145;155;1 2 3
Object 14;55.5345;55.9576;5;152;163;1 2 3
Object 89;46.0473;38.1904;5;154;164;1 2 3
Object 93;45.0125;41.1496;5;156;167;1 2 3
Object 75;52.287;104.305;10;159;174;3
Object 3;44.3239;44.9943;5;162;173;1 2 3
Object 73;45.0243;37.8846;5;162;173;1 2 3
Object 99;50.4203;41.0034;5;168;179;1 2 3
Object 5;54.6305;22.5691;10;170;186;1 2 3
Object 82;44.771;38.8334;5;172;183;1 2 3
Object 25;44.7909;44.913;5;173;183;1 2 3
Object 129;55.1937;75.9685;5;174;185;3
Object 138;56.3018;60.9498;5;175;185;1 2 3
Object 53;44.2319;42.774;5;180;190;1 2 3
Object 34;45.2692;41.8414;5;183;193;1 2 3
Object 36;53.7387;36.6627;5;185;195;1 2 3
Object 42;57.8148;53.0533;5;189;200;1 2 3
Object 86;52.7078;50.0327;5;193;203;1 2 3
Object 78;51.9014;38.7237;10;197;215;1 2 3
Object 121;46.3152;39.97;10;200;216;1 2 3
Object 108;55.9321;98.0106;5;203;214;3
Object 74;51.1978;49.7335;5;204;215;1 2 3
Object 90;53.5151;49.1579;5;205;216;1 2 3
Object 92;54.9144;56.9765;10;205;222;1 2 3
Object 134;47.4178;40.0727;5;205;216;1 2 3
Object 116;60.6923;60.4316;5;206;217;3
Object 125;45.7224;40.725;10;210;228;1 2 3
Object 137;44.6442;41.3034;5;210;221;1 2 3
Object 40;43.8427;43.6387;10;215;231;1 2 3
Object 15;57.3987;45.0871;5;219;229;1 2 3
Object 58;55.0251;85.9483;5;219;230;3
Object 50;53.2909;51.1789;5;220;230;1 2 3
Object 21;48.6857;43.5271;5;224;235;1 2 3
Object 22;54.4231;51.0825;10;225;241;1 2 3
Object 63;44.358;44.7417;5;225;236;1 2 3
Object 107;58.1369;52.6548;5;226;236;1 2 3
Object 38;44.1498;43.4578;5;230;240;1 2 3
Object 27;55.3365;41.6303;5;232;242;1 2 3
Object 95;59.9302;60.0862;10;232;250;3
Object 19;60.1553;59.9646;5;234;244;3
Object 49;45.0455;41.9683;10;234;251;1 2 3
Object 17;57.3458;58.2236;5;236;246;1 2 3
Object 71;46.5055;41.3457;10;239;254;1 2 3
Object 98;44.111;42.9684;5;241;251;1 2 3
Object 6;55.9181;39.1784;5;243;253;1 2 3
Object 13;55.2571;42.2052;10;243;260;1 2 3
Object 106;56.791;105.777;5;243;253;3
Object 26;44.0455;42.8575;5;249;260;1 2 3
Object 7;45.4533;39.0117;5;253;263;1 2 3
Object 104;48.3451;41.8265;10;254;270;1 2 3
Object 119;45.8209;41.7474;5;254;265;1 2 3
Object 147;54.5891;22.2033;5;261;271;1 2 3
Object 9;45.497;41.2182;5;269;279;1 2 3
Object 51;53.6554;55.9439;5;273;283;1 2 3
Object 37;57.6701;66.1742;5;278;289;3
Object 112;55.0017;86.9564;20;279;305;3
Object 62;44.886;40.5862;5;281;291;1 2 3
Object 111;57.4492;97.358;10;289;305;3
Object 101;54.818;56.3944;5;291;301;1 2 3
Object 64;44.548;44.8328;5;295;306;1 2 3
Object 136;56.0132;90.4026;5;298;308;3
Object 16;54.8937;52.3173;5;300;310;1 2 3
Object 91;56.65;43.4801;5;304;314;1 2 3
Object 77;62.1293;65.3745;5;310;321;3
Object 97;51.6426;38.9476;10;310;327;1 2 3
Object 109;57.1859;53.1639;5;312;322;1 2 3
Object 130;45.8706;39.9504;5;313;323;1 2 3
Object 139;56.0488;97.6316;5;313;323;3
Object 148;56.7568;61.3742;5;314;324;1 2 3
Object 146;52.2075;104.099;20;315;347;3
Object 8;45.7684;41.064;5;317;327;1 2 3
Object 122;54.1351;38.1576;5;317;327;1 2 3
Object 48;45.5547;39.192;5;327;338;1 2 3
Object 150;46.1398;38.6889;10;327;343;1 2 3
Object 67;60.7274;72.8212;5;331;341;3
Object 145;59.672;56.7558;10;331;348;3
Object 79;45.1665;41.0016;5;337;347;1 2 3
Object 35;47.3178;40.3789;5;344;355;1 2 3
Object 142;45.1117;41.0183;5;344;355;1 2 3
Object 72;54.2085;72.9614;5;345;356;3
