Name;Latitude;Longitude;Type
Rig 1;44.6237;40.7471;1
Rig 2;54.9019;99.0248;2
Rig 3;54.9885;73.3242;3
Rig 4;54.3686;77.2959;1
Rig 5;53.9845;37.6676;2
Rig 6;46.1398;38.6889;1
Rig 7;56.1746;92.6734;3
Rig 8;44.8348;40.7248;3
Rig 9;45.9701;42.6973;3
Rig 10;56.1446;40.4179;3
Rig 11;50.5318;36.2954;2
Rig 12;54.8587;53.0719;1
Rig 13;44.6237;40.7471;1
Rig 14;54.9019;99.0248;2
Rig 15;54.9885;73.3242;3
Rig 16;54.3686;77.2959;2
Rig 17;53.9845;37.6676;3
Rig 18;46.1398;38.6889;1
Rig 19;56.1746;92.6734;3
Rig 20;44.8348;40.7248;1
Rig 21;45.9701;42.6973;2
Rig 22;56.1446;40.4179;1
Rig 23;50.5318;36.2954;3
Rig 24;54.8587;53.0719;2
