Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Object 8;52.7022;55.8088;5;0;15;1 2 3
Object 34;44.2374;43.1227;10;0;20;1 2 3
Object 51;50.5335;36.5742;10;0;20;1 2 3
Object 82;57.3045;67.1011;5;0;15;3
Object 106;57.7193;55.3891;10;0;20;1 2 3
Object 128;61.6213;72.1645;10;0;20;3
Object 93;57.3013;39.5361;5;1;16;1 2 3
Object 102;56.2361;90.4903;5;1;16;3
Object 38;56.1304;40.0147;10;3;22;1 2 3
Object 113;50.1438;48.5495;5;4;17;1 2 3
Object 63;45.1974;38.5799;5;5;18;1 2 3
Object 16;58.4501;92.1868;5;15;23;3
Object 61;61.6064;73.7158;5;19;25;3
Object 121;45.1921;36.9939;5;19;25;1 2 3
Object 144;51.2225;38.3763;5;19;25;1 2 3
Object 4;52.5422;52.8249;5;22;27;1 2 3
Object 84;45.2107;42.0094;5;23;28;1 2 3
Object 9;55.8677;39.0855;5;30;36;1 2 3
Object 117;52.4128;60.3453;5;32;38;1 2 3
Object 12;46.5545;39.6117;5;34;40;1 2 3
Object 39;45.4624;39.4481;5;34;40;1 2 3
Object 15;61.0374;76.0998;5;37;43;3
Object 110;45.8404;39.023;5;38;44;1 2 3
Object 91;55.8992;52.2938;5;40;45;1 2 3
Object 141;54.3397;80.4987;10;41;49;3
Object 75;56.5069;56.0837;5;44;49;1 2 3
Object 96;55.932;39.6303;5;48;54;1 2 3
Object 7;56.0175;39.961;5;50;56;1 2 3
Object 55;63.9365;65.0479;5;50;55;3
Object 71;52.5167;52.0688;5;50;56;1 2 3
Object 129;56.295;55.8522;5;50;56;1 2 3
Object 81;46.3103;38.9635;10;51;60;1 2 3
Object 47;45.6093;38.9547;10;53;62;1 2 3
Object 76;55.1119;83.887;10;54;63;3
Object 40;52.9251;52.8731;5;55;61;1 2 3
Object 41;43.4818;39.9734;5;57;63;1 2 3
Object 130;54.5699;100.582;10;62;70;3
Object 80;54.9609;72.6392;10;67;76;3
Object 73;47.5156;40.1107;10;70;79;1 2 3
Object 122;51.9403;38.8;5;70;75;1 2 3
Object 149;55.9621;43.0912;5;72;77;1 2 3
Object 127;56.1937;96.5251;5;74;79;3
Object 54;56.9756;60.3645;10;76;85;1 2 3
Object 114;55.8019;68.3168;5;77;83;3
Object 42;58.4705;56.4232;5;79;85;1 2 3
Object 77;51.0288;59.8684;5;81;86;1 2 3
Object 131;56.1969;40.5361;5;81;87;1 2 3
Object 49;43.9664;42.7704;5;83;89;1 2 3
Object 68;59.1562;57.5942;5;83;89;3
Object 137;45.2437;40.8364;5;84;89;1 2 3
Object 105;44.9792;37.3348;5;86;92;1 2 3
Object 108;58.0297;56.2668;5;87;93;1 2 3
Object 135;60.1553;59.9646;5;89;95;3
Object 59;54.8719;43.8014;5;92;98;1 2 3
Object 48;46.0759;38.9671;5;93;99;1 2 3
Object 74;55.7279;93.7684;5;94;99;3
Object 98;61.1996;62.8405;5;96;101;3
Object 65;55.0642;51.2274;10;102;111;1 2 3
Object 25;50.4214;37.8305;5;106;112;1 2 3
Object 50;45.0564;43.6469;5;107;112;1 2 3
Object 124;55.5579;98.6569;5;115;120;3
Object 142;54.818;56.3944;5;123;129;1 2 3
Object 46;48.8012;44.4739;5;130;136;1 2 3
Object 116;52.9697;49.7067;5;132;137;1 2 3
Object 67;51.1646;54.9885;10;140;149;1 2 3
Object 132;54.2162;55.0291;20;141;157;1 2 3
Object 111;50.478;35.6792;5;142;148;1 2 3
Object 145;55.5223;89.2205;5;146;152;3
Object 29;56.4322;55.6;5;151;157;1 2 3
Object 21;54.7751;83.08;20;152;167;3
Object 35;55.0375;43.2464;10;155;163;1 2 3
Object 17;44.0422;44.453;5;158;164;1 2 3
Object 150;44.735;44.201;5;159;164;1 2 3
Object 85;55.2519;52.5882;5;169;175;1 2 3
Object 2;58.3606;40.6846;5;171;176;1 2 3
Object 30;55.9987;55.9185;5;171;177;1 2 3
Object 94;54.9429;20.2216;5;172;177;1 2 3
Object 95;57.1613;65.525;10;172;181;3
Object 19;44.6354;39.1351;5;174;179;1 2 3
Object 97;44.5483;41.035;10;177;186;1 2 3
Object 83;50.8861;44.826;5;181;186;1 2 3
Object 88;55.3588;54.614;5;184;189;1 2 3
Object 37;55.307;50.1189;5;189;195;1 2 3
Object 79;48.2048;41.1463;5;189;195;1 2 3
Object 24;54.1077;52.1346;5;190;195;1 2 3
Object 70;54.6336;72.4016;10;193;202;3
