Name;Latitude;Longitude;Type
Rig 1;57.9781;56.1061;1
Rig 2;49.4774;43.8549;2
Rig 3;59.7654;60.0135;3
Rig 4;47.1398;39.7378;3
Rig 5;47.506;42.1794;2
Rig 6;56.8569;65.0315;3
Rig 7;60.7274;72.8212;3
Rig 8;45.4444;41.0346;2
Rig 9;53.4671;51.5059;3
Rig 10;56.7116;58.0537;1
Rig 11;45.2188;37.8876;1
Rig 12;62.4627;66.0407;1
Rig 13;57.9781;56.1061;1
Rig 14;49.4774;43.8549;2
Rig 15;59.7654;60.0135;3
Rig 16;47.1398;39.7378;2
Rig 17;47.506;42.1794;3
Rig 18;56.8569;65.0315;1
Rig 19;60.7274;72.8212;2
Rig 20;45.4444;41.0346;1
Rig 21;53.4671;51.5059;3
Rig 22;56.7116;58.0537;3
Rig 23;45.2188;37.8876;3
Rig 24;62.4627;66.0407;1
