Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Object 20;55.9992;43.0186;5;0;30;1 2 3
Object 38;45.1545;42.9892;10;0;40;1 2 3
Object 98;55.186;44.1198;5;0;30;1 2 3
Object 144;58.5007;39.1422;5;0;30;1 2 3
Object 44;57.2575;60.0834;10;2;40;1 2 3
Object 24;43.9664;42.7704;10;12;40;1 2 3
Object 2;63.9365;65.0479;5;13;30;3
Object 83;58.0208;46.3204;5;14;30;1 2 3
Object 108;44.8484;38.3881;10;14;40;1 2 3
Object 34;48.1773;40.7795;10;15;40;1 2 3
Object 29;54.6426;83.3083;30;16;80;3
Object 46;53.9991;37.5096;5;16;30;1 2 3
Object 100;54.0815;53.6778;5;20;31;1 2 3
Object 21;57.9059;55.4753;5;21;31;1 2 3
Object 11;47.0135;39.3877;5;22;32;1 2 3
Object 103;53.3384;58.5109;5;22;32;1 2 3
Object 116;45.6353;39.8952;20;23;60;1 2 3
Object 28;44.9599;41.9394;10;25;40;1 2 3
Object 56;54.8615;21.1021;5;25;35;1 2 3
Object 145;57.9499;38.3885;5;33;43;1 2 3
Object 5;50.789;35.7748;5;36;46;1 2 3
Object 117;55.7041;61.5382;10;37;52;1 2 3
Object 72;45.3208;37.1046;5;39;49;1 2 3
Object 7;56.5037;38.8376;5;41;51;1 2 3
Object 124;55.0324;74.5697;5;41;52;3
Object 135;52.5018;80.2178;10;41;57;3
Object 30;43.9185;43.0171;5;44;54;1 2 3
Object 109;55.307;50.1189;5;48;59;1 2 3
Object 92;45.2902;36.9991;5;49;59;1 2 3
Object 9;52.3144;45.3883;10;50;67;1 2 3
Object 96;45.0393;38.9872;5;51;62;1 2 3
Object 14;54.0702;38.4802;5;52;63;1 2 3
Object 82;50.8024;35.6592;5;55;66;1 2 3
Object 146;57.37;46.455;5;57;68;1 2 3
Object 16;44.9453;41.0219;5;67;77;1 2 3
Object 12;53.8124;36.1226;10;69;86;1 2 3
Object 132;58.4705;56.4232;10;70;88;1 2 3
Object 120;51.5413;40.4983;5;71;81;1 2 3
Object 74;56.4983;66.5488;10;74;91;3
Object 94;56.3122;66.2733;5;74;84;3
Object 127;54.8704;19.9426;5;75;86;1 2 3
Object 104;53.3929;49.0596;5;78;89;1 2 3
Object 55;46.2386;41.2964;5;80;91;1 2 3
Object 23;46.1398;38.6889;5;84;94;1 2 3
Object 147;54.1577;74.7964;5;88;98;3
Object 122;54.7025;78.6819;5;89;99;3
Object 121;55.5219;45.4666;10;91;109;1 2 3
Object 70;45.4353;38.7206;5;93;104;1 2 3
Object 90;46.1327;38.9645;5;97;107;1 2 3
Object 32;55.9995;60.6619;5;98;108;1 2 3
Object 80;56.996;59.555;5;101;112;1 2 3
Object 3;45.6446;38.1652;5;105;116;1 2 3
Object 15;45.3701;41.7107;10;108;123;1 2 3
Object 78;43.4624;39.9266;5;110;120;1 2 3
Object 18;50.468;48.1403;10;114;132;1 2 3
Object 143;55.7053;58.9602;10;115;133;1 2 3
Object 4;53.4406;38.6661;5;121;131;1 2 3
Object 54;54.5582;53.8113;5;121;131;1 2 3
Object 111;51.0018;55.6306;5;121;131;1 2 3
Object 36;53.9085;37.7359;5;123;133;1 2 3
Object 69;51.037;36.7303;10;128;144;1 2 3
Object 128;58.2933;37.8709;5;128;139;1 2 3
Object 43;45.3681;38.21;5;131;141;1 2 3
Object 134;45.0125;41.1496;10;137;155;1 2 3
Object 138;45.259;40.671;5;137;147;1 2 3
Object 27;55.9742;94.7096;5;138;148;3
Object 19;50.3632;44.1144;10;144;159;1 2 3
Object 126;59.4132;56.7849;10;145;160;3
Object 131;45.1169;42.5033;10;153;170;1 2 3
Object 37;56.7559;43.3669;5;154;164;1 2 3
Object 31;53.3493;102.786;5;155;166;3
Object 52;45.4444;41.0346;20;164;191;1 2 3
Object 26;44.8991;37.3895;10;167;182;1 2 3
Object 95;55.175;58.1501;5;168;178;1 2 3
Object 107;58.0737;97.3119;5;168;178;3
Object 88;43.9077;43.3073;5;169;180;1 2 3
Object 61;51.1548;82.193;5;170;181;1 2 3
Object 123;55.5721;44.8719;10;172;188;1 2 3
Object 51;52.7643;87.8895;5;174;185;3
Object 35;54.9479;48.8247;5;177;188;1 2 3
Object 57;44.5873;41.6772;5;179;189;1 2 3
Object 106;52.2052;81.3942;5;181;192;3
Object 63;46.5726;43.6468;5;182;192;1 2 3
Object 113;56.3424;50.2135;10;182;200;1 2 3
Object 85;55.3101;61.2644;5;183;193;1 2 3
Object 118;53.979;38.1667;5;186;196;1 2 3
Object 49;45.0893;42.2278;5;189;200;1 2 3
Object 119;51.0829;38.6406;20;190;221;1 2 3
Object 60;57.8632;56.2867;5;196;206;1 2 3
Object 45;50.6499;38.4017;5;200;210;1 2 3
Object 58;57.8483;61.688;5;209;219;3
Object 65;51.874;45;5;211;222;1 2 3
Object 8;52.9697;49.7067;5;212;223;1 2 3
Object 25;56.3018;60.9498;5;212;223;1 2 3
Object 79;57.9845;102.74;5;212;223;3
Object 62;56.9607;65.7702;10;213;228;3
Object 112;51.5725;38.7541;10;214;232;1 2 3
Object 66;50.4003;39.6438;5;215;225;1 2 3
Object 13;52.4726;104.404;5;218;229;3
Object 115;58.2;68.2635;10;218;236;3
Object 149;54.2102;58.5901;10;219;236;1 2 3
Object 39;45.0031;43.7825;5;220;230;1 2 3
Object 75;69.4042;86.2003;5;224;235;3
Object 89;50.2026;38.1181;20;228;255;1 2 3
Object 40;54.4414;61.362;5;229;240;1 2 3
Object 150;53.9966;38.0915;5;230;240;1 2 3
Object 102;54.2876;37.4612;10;232;247;1 2 3
Object 129;45.2588;38.1249;20;235;260;1 2 3
Object 81;56.9103;93.1215;10;241;256;3
Object 73;51.7106;46.7485;5;244;255;1 2 3
Object 77;45.1012;38.6291;20;245;274;1 2 3
Object 48;54.0473;61.7492;5;247;257;1 2 3
Object 110;45.9986;39.995;20;250;276;1 2 3
Object 114;45.2763;38.8489;5;251;262;1 2 3
Object 142;45.8677;40.1051;10;252;270;1 2 3
Object 137;50.8202;60.8516;5;253;263;1 2 3
Object 1;44.2275;43.3349;5;259;270;1 2 3
Object 130;54.7125;44.8379;10;267;283;1 2 3
Object 71;57.4161;60.0706;5;268;278;1 2 3
Object 10;46.0812;40.8683;10;274;292;1 2 3
Object 59;52.4935;82.7806;5;277;287;3
Object 101;44.933;41.1306;10;278;296;1 2 3
Object 133;44.6067;44.088;5;283;294;1 2 3
Object 86;48.5363;42.495;5;284;294;1 2 3
Object 33;50.833;40.6024;5;285;296;1 2 3
Object 67;56.4699;73.6044;5;286;297;3
Object 105;54.3674;56.1747;30;289;334;1 2 3
Object 93;45.153;39.0181;5;294;304;1 2 3
Object 22;45.7056;39.5913;5;298;308;1 2 3
Object 42;53.8971;92.6812;5;298;309;3
Object 53;52.56;78.9297;10;301;319;3
Object 91;44.8443;38.5624;10;305;323;1 2 3
Object 136;53.377;51.3402;5;308;318;1 2 3
Object 41;56.1936;87.7131;5;317;328;3
Object 64;61.6064;73.7158;5;317;327;3
Object 84;55.6085;73.4882;5;317;327;3
Object 47;56.6416;43.4029;10;319;334;1 2 3
Object 68;58.2632;54.9327;10;319;335;1 2 3
Object 99;55.2402;72.9178;5;319;330;3
Object 125;44.3337;40.768;5;319;329;1 2 3
Object 140;56.8392;45.4287;5;319;329;1 2 3
Object 139;48.3451;41.8265;5;322;332;1 2 3
Object 141;54.5753;82.2444;5;323;333;3
Object 50;53.214;87.2799;5;324;335;3
Object 6;54.4421;61.2606;5;334;344;1 2 3
Object 148;52.2758;49.0997;10;335;352;1 2 3
Object 17;55.0017;86.9564;5;338;348;3
Object 76;54.6336;72.4016;5;345;355;3
Object 87;45.2652;38.148;5;345;355;1 2 3
Object 97;50.7974;42.0056;5;345;355;1 2 3
