Name;Latitude;Longitude;Type
Rig 1;58.0297;56.2668;1
Rig 2;56.8622;68.6438;2
Rig 3;44.2006;43.4274;3
Rig 4;45.579;39.6543;3
Rig 5;43.8298;44.569;3
Rig 6;55.8897;60.7445;3
Rig 7;45.9588;40.6896;2
Rig 8;45.2173;39.5634;2
Rig 9;55.0451;21.6727;2
Rig 10;56.3729;75.2394;3
Rig 11;57.1261;45.1493;2
Rig 12;55.843;56.8948;1
Rig 13;58.0297;56.2668;1
Rig 14;56.8622;68.6438;2
Rig 15;44.2006;43.4274;3
Rig 16;45.579;39.6543;1
Rig 17;43.8298;44.569;1
Rig 18;55.8897;60.7445;1
Rig 19;45.9588;40.6896;2
Rig 20;45.2173;39.5634;3
Rig 21;55.0451;21.6727;2
Rig 22;56.3729;75.2394;2
Rig 23;57.1261;45.1493;2
Rig 24;55.843;56.8948;3
