Name;Latitude;Longitude;Type
Rig 1;44.6796;41.8204;1
Rig 2;58.0443;65.2561;2
Rig 3;44.2431;43.5632;3
Rig 4;55.6471;49.22;2
Rig 5;51.9839;55.3418;1
Rig 6;44.7154;37.762;2
Rig 7;44.8608;37.3557;1
Rig 8;45.2437;40.8364;2
Rig 9;56.5103;60.8247;3
Rig 10;44.8192;44.6636;1
Rig 11;53.0554;60.6374;3
Rig 12;50.2036;40.5064;1
Rig 13;44.6796;41.8204;1
Rig 14;58.0443;65.2561;2
Rig 15;44.2431;43.5632;3
Rig 16;55.6471;49.22;1
Rig 17;51.9839;55.3418;3
Rig 18;44.7154;37.762;1
Rig 19;44.8608;37.3557;2
Rig 20;45.2437;40.8364;2
Rig 21;56.5103;60.8247;3
Rig 22;44.8192;44.6636;3
Rig 23;53.0554;60.6374;2
Rig 24;50.2036;40.5064;2
