Name;Latitude;Longitude;Type
Rig 1;54.5993;53.4577;1
Rig 2;50.9527;43.7396;2
Rig 3;51.6838;39.7561;3
Rig 4;58.3006;56.4173;3
Rig 5;54.0027;79.2533;3
Rig 6;54.309;59.4089;1
Rig 7;45.2072;37.1544;2
Rig 8;57.126;43.806;1
Rig 9;44.1401;42.8757;2
Rig 10;52.775;78.8089;1
Rig 11;56.351;41.0002;2
Rig 12;54.0055;86.6498;3
Rig 13;54.5993;53.4577;1
Rig 14;50.9527;43.7396;2
Rig 15;51.6838;39.7561;3
Rig 16;58.3006;56.4173;2
Rig 17;54.0027;79.2533;1
Rig 18;54.309;59.4089;3
Rig 19;45.2072;37.1544;1
Rig 20;57.126;43.806;2
Rig 21;44.1401;42.8757;1
Rig 22;52.775;78.8089;1
Rig 23;56.351;41.0002;3
Rig 24;54.0055;86.6498;2
