Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Object 20;55.9992;43.0186;5;0;15;1 2 3
Object 38;45.1545;42.9892;20;0;30;1 2 3
Object 98;55.186;44.1198;5;0;15;1 2 3
Object 144;58.5007;39.1422;5;0;15;1 2 3
Object 44;57.2575;60.0834;5;2;16;1 2 3
Object 24;43.9664;42.7704;5;12;21;1 2 3
Object 2;63.9365;65.0479;5;13;22;3
Object 83;58.0208;46.3204;5;14;22;1 2 3
Object 108;44.8484;38.3881;5;14;22;1 2 3
Object 34;48.1773;40.7795;10;15;28;1 2 3
Object 29;54.6426;83.3083;5;16;23;3
Object 46;53.9991;37.5096;5;16;23;1 2 3
Object 100;54.0815;53.6778;5;20;26;1 2 3
Object 21;57.9059;55.4753;5;21;26;1 2 3
Object 11;47.0135;39.3877;5;22;27;1 2 3
Object 103;53.3384;58.5109;10;22;31;1 2 3
Object 116;45.6353;39.8952;5;23;28;1 2 3
Object 28;44.9599;41.9394;5;25;30;1 2 3
Object 56;54.8615;21.1021;20;25;43;1 2 3
Object 145;57.9499;38.3885;5;33;38;1 2 3
Object 5;50.789;35.7748;5;36;41;1 2 3
Object 117;55.7041;61.5382;5;37;42;1 2 3
Object 72;45.3208;37.1046;5;39;44;1 2 3
Object 7;56.5037;38.8376;5;41;46;1 2 3
Object 124;55.0324;74.5697;5;41;47;3
Object 135;52.5018;80.2178;5;41;46;3
Object 30;43.9185;43.0171;5;44;49;1 2 3
Object 109;55.307;50.1189;5;48;54;1 2 3
Object 92;45.2902;36.9991;10;49;57;1 2 3
Object 9;52.3144;45.3883;10;50;59;1 2 3
Object 96;45.0393;38.9872;5;51;57;1 2 3
Object 14;54.0702;38.4802;10;52;61;1 2 3
Object 82;50.8024;35.6592;5;55;61;1 2 3
Object 146;57.37;46.455;5;57;63;1 2 3
Object 16;44.9453;41.0219;5;67;72;1 2 3
Object 12;53.8124;36.1226;10;69;78;1 2 3
Object 132;58.4705;56.4232;5;70;76;1 2 3
Object 120;51.5413;40.4983;5;71;76;1 2 3
Object 74;56.4983;66.5488;5;74;80;3
Object 94;56.3122;66.2733;5;74;79;3
Object 127;54.8704;19.9426;20;75;91;1 2 3
Object 104;53.3929;49.0596;5;78;84;1 2 3
Object 55;46.2386;41.2964;5;80;86;1 2 3
Object 23;46.1398;38.6889;5;84;89;1 2 3
Object 147;54.1577;74.7964;5;88;93;3
Object 122;54.7025;78.6819;20;89;103;3
Object 121;55.5219;45.4666;5;91;97;1 2 3
Object 70;45.4353;38.7206;5;93;99;1 2 3
Object 90;46.1327;38.9645;5;97;102;1 2 3
Object 32;55.9995;60.6619;10;98;106;1 2 3
Object 80;56.996;59.555;5;101;107;1 2 3
Object 3;45.6446;38.1652;20;105;121;1 2 3
Object 15;45.3701;41.7107;10;108;116;1 2 3
Object 78;43.4624;39.9266;5;110;115;1 2 3
Object 18;50.468;48.1403;5;114;120;1 2 3
Object 143;55.7053;58.9602;5;115;121;1 2 3
Object 4;53.4406;38.6661;5;121;126;1 2 3
Object 54;54.5582;53.8113;5;121;126;1 2 3
Object 111;51.0018;55.6306;10;121;129;1 2 3
Object 36;53.9085;37.7359;5;123;128;1 2 3
Object 69;51.037;36.7303;5;128;133;1 2 3
Object 128;58.2933;37.8709;5;128;134;1 2 3
Object 43;45.3681;38.21;5;131;136;1 2 3
Object 134;45.0125;41.1496;5;137;143;1 2 3
Object 138;45.259;40.671;5;137;142;1 2 3
Object 27;55.9742;94.7096;5;138;143;3
Object 19;50.3632;44.1144;5;144;149;1 2 3
Object 126;59.4132;56.7849;10;145;153;3
Object 131;45.1169;42.5033;5;153;159;1 2 3
Object 37;56.7559;43.3669;5;154;159;1 2 3
Object 31;53.3493;102.786;5;155;161;3
Object 52;45.4444;41.0346;5;164;169;1 2 3
Object 26;44.8991;37.3895;5;167;172;1 2 3
Object 95;55.175;58.1501;5;168;173;1 2 3
Object 107;58.0737;97.3119;5;168;173;3
Object 88;43.9077;43.3073;5;169;175;1 2 3
Object 61;51.1548;82.193;5;170;176;1 2 3
Object 123;55.5721;44.8719;5;172;177;1 2 3
Object 51;52.7643;87.8895;5;174;180;3
Object 35;54.9479;48.8247;5;177;183;1 2 3
Object 57;44.5873;41.6772;10;179;187;1 2 3
Object 106;52.2052;81.3942;5;181;187;3
Object 63;46.5726;43.6468;10;182;190;1 2 3
Object 113;56.3424;50.2135;5;182;188;1 2 3
Object 85;55.3101;61.2644;5;183;188;1 2 3
Object 118;53.979;38.1667;5;186;191;1 2 3
Object 49;45.0893;42.2278;5;189;195;1 2 3
Object 119;51.0829;38.6406;5;190;196;1 2 3
Object 60;57.8632;56.2867;5;196;201;1 2 3
Object 45;50.6499;38.4017;5;200;205;1 2 3
Object 58;57.8483;61.688;5;209;214;3
Object 65;51.874;45;5;211;217;1 2 3
Object 8;52.9697;49.7067;5;212;218;1 2 3
Object 25;56.3018;60.9498;5;212;218;1 2 3
Object 79;57.9845;102.74;10;212;221;3
Object 62;56.9607;65.7702;5;213;218;3
Object 112;51.5725;38.7541;30;214;237;1 2 3
Object 66;50.4003;39.6438;5;215;220;1 2 3
Object 13;52.4726;104.404;5;218;224;3
Object 115;58.2;68.2635;10;218;227;3
Object 149;54.2102;58.5901;5;219;225;1 2 3
Object 39;45.0031;43.7825;5;220;225;1 2 3
Object 75;69.4042;86.2003;5;224;230;3
Object 89;50.2026;38.1181;20;228;242;1 2 3
Object 40;54.4414;61.362;10;229;238;1 2 3
Object 150;53.9966;38.0915;5;230;235;1 2 3
Object 102;54.2876;37.4612;5;232;237;1 2 3
Object 129;45.2588;38.1249;5;235;240;1 2 3
Object 81;56.9103;93.1215;5;241;246;3
Object 73;51.7106;46.7485;5;244;250;1 2 3
