Name;Latitude;Longitude;Type
Rig 1;44.831;37.546;1
Rig 2;56.1592;38.8636;2
Rig 3;56.9419;65.4266;3
Rig 4;57.6442;56.4728;2
Rig 5;44.6963;39.8025;1
Rig 6;52.2601;43.7814;3
Rig 7;55.1066;55.3377;2
Rig 8;45.7762;38.6709;3
Rig 9;54.9756;48.2787;3
Rig 10;57.6525;53.8104;1
Rig 11;57.9781;56.1061;3
Rig 12;54.2408;86.2094;3
Rig 13;44.831;37.546;1
Rig 14;56.1592;38.8636;2
Rig 15;56.9419;65.4266;3
Rig 16;57.6442;56.4728;2
Rig 17;44.6963;39.8025;2
Rig 18;52.2601;43.7814;3
Rig 19;55.1066;55.3377;1
Rig 20;45.7762;38.6709;1
Rig 21;54.9756;48.2787;3
Rig 22;57.6525;53.8104;3
Rig 23;57.9781;56.1061;1
Rig 24;54.2408;86.2094;3
