Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Customer 1;52.7702;52.2415;20;0;35;1 2 3
Customer 2;51.9595;58.1589;10;0;25;1 2 3
Customer 3;51.7696;55.1043;5;0;20;1 2 3
Customer 4;52.5206;52.7678;5;0;20;1 2 3
Customer 5;53.6581;52.4386;5;13;27;1 2 3
Customer 6;51.8582;58.4354;10;33;42;1 2 3
Customer 7;51.035;59.8769;10;56;64;1 2 3
Customer 8;52.0894;53.6453;5;57;62;1 2 3
Customer 9;52.8033;52.2185;10;60;68;1 2 3
Customer 10;51.1842;58.2805;10;70;79;1 2 3
Customer 11;52.775;52.2476;5;74;80;1 2 3
Customer 12;51.2119;58.6016;10;75;83;1 2 3
Customer 13;52.0892;53.6376;5;87;93;1 2 3
Customer 14;51.0361;59.8688;5;91;96;1 2 3
Customer 15;52.4334;53.157;5;106;112;1 2 3
Customer 16;52.7859;52.2601;20;111;126;1 2 3
Customer 17;51.255;58.4539;5;124;129;1 2 3
Customer 18;51.7654;55.3405;5;135;140;1 2 3
Customer 19;51.7588;55.103;5;138;143;1 2 3
Customer 20;51.2332;58.4725;10;139;147;1 2 3
Customer 21;51.0357;59.8731;5;141;146;1 2 3
Customer 22;51.9966;55.3203;5;142;148;1 2 3
Customer 23;52.7883;52.2605;5;142;148;1 2 3
Customer 24;51.7853;55.1561;10;144;152;1 2 3
Customer 25;51.2541;58.4841;10;147;155;1 2 3
Customer 26;51.2507;58.4235;5;172;178;1 2 3
Customer 27;51.2523;58.439;5;190;196;1 2 3
Customer 28;52.7767;52.2509;5;190;195;1 2 3
Customer 29;52.7967;52.238;10;201;209;1 2 3
Customer 30;51.7699;55.1054;5;211;216;1 2 3
Customer 31;51.8545;55.1262;5;215;220;1 2 3
Customer 32;51.4685;58.4568;5;220;225;1 2 3
Customer 33;51.4068;57.5835;5;224;229;1 2 3
Customer 34;52.4035;53.1677;5;228;234;1 2 3
Customer 35;50.998;55.6145;5;228;233;1 2 3
Customer 36;51.2534;58.4403;5;258;263;1 2 3
Customer 37;51.8543;55.1578;5;262;267;1 2 3
Customer 38;51.6391;54.3809;5;264;269;1 2 3
Customer 39;51.2463;58.4628;5;266;272;1 2 3
Customer 40;52.0897;53.6453;5;279;284;1 2 3
Customer 41;51.1996;58.3169;20;290;305;1 2 3
Customer 42;51.2242;58.504;10;310;319;1 2 3
Customer 43;51.8018;55.083;10;310;319;1 2 3
Customer 44;51.254;58.4841;5;310;315;1 2 3
Customer 45;51.2286;58.4872;5;317;323;1 2 3
Customer 46;51.2541;58.4843;5;320;326;1 2 3
Customer 47;51.2214;58.4827;5;320;325;1 2 3
Customer 48;51.1998;58.571;5;320;326;1 2 3
Customer 49;51.0326;59.8781;5;320;325;1 2 3
